triplets,name,type,rx,tx,mem,cpu
1,arbiter,arbiter,7279,4021,96612352,0.00012197955801866001
1,arbiter,arbiter,8838,4932,96657408,0.003399412
1,arbiter,arbiter,9817,5913,96665600,0.0020772943005181346
1,arbiter,arbiter,9957,5913,96665600,0.00005565025641025641
1,arbiter,arbiter,10069,5955,96665600,0
1,arbiter,arbiter,10349,6165,96665600,0
1,arbiter,arbiter,10349,6165,96665600,0
1,arbiter,arbiter,10489,6165,96665600,0
1,arbiter,arbiter,10559,6165,96665600,0
1,arbiter,arbiter,10769,6165,96665600,0
1,arbiter,arbiter,10839,6165,96665600,0
1,databox-store-mock-0,store,3055,2091,112586752,0.00016083296000312224
1,databox-store-mock-0,store,5927,8020,114438144,0.058171391
1,databox-store-mock-0,store,442669,450464,122769408,0.5961900300518135
1,databox-store-mock-0,store,1251590,1080937,136163328,0.5992271938461539
1,databox-store-mock-0,store,2188488,1772591,142450688,0.544409036923077
1,databox-store-mock-0,store,3210269,2521097,150904832,0.5599476670050761
1,databox-store-mock-0,store,4268344,3281469,159858688,0.5893696900523561
1,databox-store-mock-0,store,5379402,4089020,166780928,0.5785345104166667
1,databox-store-mock-0,store,6405682,4816341,176283648,0.5015842267326732
1,databox-store-mock-0,store,7521592,5616755,186150912,0.5800613419689119
1,databox-store-mock-0,store,8623409,6377829,193896448,0.5655563454545455
1,databox-driver-mock-0,driver,774,516,59088896,0.0000800683833657802
1,databox-driver-mock-0,driver,1524,926,99909632,0.833836189
1,databox-driver-mock-0,driver,43623,350530,114319360,0.5711236207253886
1,databox-driver-mock-0,driver,126369,1016200,126648320,0.46502444615384614
1,databox-driver-mock-0,driver,219255,1794543,134660096,0.5214490943589744
1,databox-driver-mock-0,driver,324593,2657720,141336576,0.49191368629441623
1,databox-driver-mock-0,driver,432383,3556515,149770240,0.5074418722513089
1,databox-driver-mock-0,driver,545435,4489806,158150656,0.5067491552083333
1,databox-driver-mock-0,driver,650011,5363655,165560320,0.4476482920792079
1,databox-driver-mock-0,driver,762407,6308010,173568000,0.48876873886010364
1,databox-driver-mock-0,driver,874263,7249427,181776384,0.5050108438502674
1,databox-app-mock-0,app,606,258,39358464,0.00004584780203129591
1,databox-app-mock-0,app,10903,4033,86016000,0.855251491
1,databox-app-mock-0,app,422841,111265,94060544,0.31224537512953365
1,databox-app-mock-0,app,973910,250747,105340928,0.3481508564102564
1,databox-app-mock-0,app,1563640,399331,108494848,0.3491920451282051
1,databox-app-mock-0,app,2210642,562191,119861248,0.3697854152284264
1,databox-app-mock-0,app,2872375,728325,124846080,0.3223350837696335
1,databox-app-mock-0,app,3560156,900015,131821568,0.340397934375
1,databox-app-mock-0,app,4185877,1057443,143400960,0.29417529603960396
1,databox-app-mock-0,app,4831848,1217071,150433792,0.3150713284974093
1,databox-app-mock-0,app,5518269,1388105,162426880,0.3576588780748663
2,arbiter,arbiter,16417,8001,96690176,0.0001232774041764431
2,arbiter,arbiter,17257,8001,96690176,0
2,arbiter,arbiter,17437,8001,96690176,0
2,arbiter,arbiter,18218,8620,96694272,0.0016751034825870648
2,arbiter,arbiter,18859,9461,96694272,0.0016912472361809046
2,arbiter,arbiter,19780,10302,96698368,0.002008238190954774
2,arbiter,arbiter,19780,10302,96698368,0.00005377286432160804
2,arbiter,arbiter,19990,10302,96698368,0
2,arbiter,arbiter,20060,10302,96698368,0
2,arbiter,arbiter,20270,10302,96698368,0
2,arbiter,arbiter,20270,10302,96698368,0
2,databox-store-mock-0,store,11715599,8633791,187056128,0.0009317746485490742
2,databox-store-mock-0,store,12208431,8973893,187056128,0.2484045393939394
2,databox-store-mock-0,store,12803531,9375527,187060224,0.2969570944723618
2,databox-store-mock-0,store,13434932,9792321,187383808,0.30981639701492536
