stores,name,timestamp,entries
5,mongo-0,3241,1
5,mongo-0,3241,1
5,mongo-0,3242,1
5,mongo-0,3242,1
5,mongo-0,3244,1
5,mongo-0,3244,1
5,mongo-0,3245,1
5,mongo-0,3246,1
5,mongo-0,3247,1
5,mongo-0,3248,1
5,mongo-0,3248,1
5,mongo-0,3249,1
5,mongo-0,3251,1
5,mongo-0,3252,1
5,mongo-0,3252,1
5,mongo-0,3253,1
5,mongo-0,3254,1
5,mongo-0,3254,1
5,mongo-0,3254,1
5,mongo-0,3255,1
5,mongo-0,3256,1
5,mongo-0,3256,1
5,mongo-0,3257,1
5,mongo-0,3257,1
5,mongo-0,3258,1
5,mongo-0,3258,1
5,mongo-0,3259,1
5,mongo-0,3259,1
5,mongo-0,3260,1
5,mongo-0,3260,1
5,mongo-0,3261,1
5,mongo-0,3262,1
5,mongo-0,3262,1
5,mongo-0,3270,1
5,mongo-0,3271,1
5,mongo-0,3272,1
5,mongo-0,3272,1
5,mongo-0,3273,1
5,mongo-0,3274,1
5,mongo-0,3274,1
5,mongo-0,3275,1
5,mongo-0,3276,1
5,mongo-0,3279,1
5,mongo-0,3279,1
5,mongo-0,3281,1
5,mongo-0,3282,1
5,mongo-0,3282,1
5,mongo-0,3283,1
5,mongo-0,3283,1
5,mongo-0,3284,1
5,mongo-0,3284,1
5,mongo-0,3285,1
5,mongo-0,3285,1
5,mongo-0,3286,1
5,mongo-0,3287,1
5,mongo-0,3287,1
5,mongo-0,3288,1
5,mongo-0,3288,1
5,mongo-0,3289,1
5,mongo-0,3290,1
5,mongo-0,3291,1
5,mongo-0,3292,1
5,mongo-0,3292,1
5,mongo-0,3293,1
5,mongo-0,3296,1
5,mongo-0,3296,1
5,mongo-0,3297,1
5,mongo-0,3297,1
5,mongo-0,3298,1
5,mongo-0,3299,1
5,mongo-0,3300,1
5,mongo-0,3300,1
5,mongo-0,3301,1
5,mongo-0,3301,1
5,mongo-0,3302,1
5,mongo-0,3303,1
5,mongo-0,3303,1
5,mongo-0,3303,1
5,mongo-0,3304,1
5,mongo-0,3304,1
5,mongo-0,3305,1
5,mongo-0,3305,1
5,mongo-0,3306,1
5,mongo-0,3306,1
5,mongo-0,3308,1
5,mongo-0,3308,1
5,mongo-0,3308,1
5,mongo-0,3309,1
5,mongo-0,3309,1
5,mongo-0,3310,1
5,mongo-0,3312,1
5,mongo-0,3312,1
5,mongo-0,3312,1
5,mongo-0,3313,1
5,mongo-0,3313,1
5,mongo-0,3314,1
5,mongo-0,3314,1
5,mongo-0,3315,1
5,mongo-0,3315,1
5,mongo-0,3317,1
5,mongo-0,3318,1
5,mongo-0,3318,1
5,mongo-0,3318,1
5,mongo-0,3318,1
5,mongo-0,3319,1
5,mongo-0,3319,1
5,mongo-0,3320,1
5,mongo-0,3320,1
5,mongo-0,3321,1
5,mongo-0,3321,1
5,mongo-0,3322,1
5,mongo-0,3322,1
5,mongo-0,3324,1
5,mongo-0,3325,1
5,mongo-0,3325,1
5,mongo-0,3326,1
5,mongo-0,3326,1
5,mongo-0,3326,1
5,mongo-0,3327,1
5,mongo-0,3327,1
5,mongo-0,3328,1
5,mongo-0,3328,1
5,mongo-0,3329,1
5,mongo-0,3329,1
5,mongo-0,3330,1
5,mongo-0,3330,1
5,mongo-0,3332,1
5,mongo-0,3333,1
5,mongo-0,3339,1
5,mongo-0,3341,1
5,mongo-0,3346,1
5,mongo-0,3354,1
5,mongo-0,3357,1
5,mongo-0,3357,1
5,mongo-0,3358,1
5,mongo-0,3359,1
5,mongo-0,3359,1
5,mongo-0,3360,1
5,mongo-0,3361,1
5,mongo-0,3361,1
5,mongo-0,3362,1
5,mongo-0,3363,1
5,mongo-0,3363,1
5,mongo-0,3363,1
5,mongo-0,3364,1
5,mongo-0,3364,1
5,mongo-0,3365,1
5,mongo-0,3365,1
5,mongo-0,3366,1
5,mongo-0,3366,1
5,mongo-0,3367,1
5,mongo-0,3367,1
5,mongo-0,3367,1
5,mongo-0,3368,1
5,mongo-0,3368,1
5,mongo-0,3369,1
5,mongo-0,3369,1
5,mongo-0,3369,1
5,mongo-0,3370,1
5,mongo-0,3370,1
5,mongo-0,3371,1
5,mongo-0,3371,1
5,mongo-0,3372,1
5,mongo-0,3372,1
5,mongo-0,3372,1
5,mongo-0,3373,1
5,mongo-0,3373,1
5,mongo-0,3374,1
5,mongo-0,3374,1
5,mongo-0,3374,1
5,mongo-0,3375,1
5,mongo-0,3375,1
5,mongo-0,3376,1
5,mongo-0,3376,1
5,mongo-0,3376,1
5,mongo-0,3377,1
5,mongo-0,3377,1
5,mongo-0,3378,1
5,mongo-0,3378,1
5,mongo-0,3378,1
5,mongo-0,3382,1
5,mongo-0,3383,1
5,mongo-0,3383,1
5,mongo-0,3384,1
5,mongo-0,3384,1
5,mongo-0,3385,1
5,mongo-0,3385,1
5,mongo-0,3386,1
5,mongo-0,3386,1
5,mongo-0,3386,1
5,mongo-0,3387,1
5,mongo-0,3388,1
5,mongo-0,3388,1
5,mongo-0,3389,1
5,mongo-0,3389,1
5,mongo-0,3391,1
5,mongo-0,3391,1
5,mongo-0,3391,1
5,mongo-0,3392,1
5,mongo-0,3392,1
5,mongo-0,3393,1
5,mongo-0,3393,1
5,mongo-0,3394,1
5,mongo-0,3394,1
5,mongo-0,3395,1
5,mongo-0,3395,1
5,mongo-0,3396,1
5,mongo-0,3396,1
5,mongo-0,3397,1
5,mongo-0,3401,1
5,mongo-0,3402,1
5,mongo-0,3402,1
5,mongo-0,3402,1
5,mongo-0,3402,1
5,mongo-0,3402,1
5,mongo-0,3403,1
5,mongo-0,3403,1
5,mongo-0,3404,1
5,mongo-0,3404,1
5,mongo-0,3405,1
5,mongo-0,3405,1
5,mongo-0,3405,1
5,mongo-0,3406,1
5,mongo-0,3406,1
5,mongo-0,3407,1
5,mongo-0,3407,1
5,mongo-0,3407,1
5,mongo-0,3408,1
5,mongo-0,3409,1
5,mongo-0,3409,1
5,mongo-0,3409,1
5,mongo-0,3410,1
5,mongo-0,3410,1
5,mongo-0,3411,1
5,mongo-0,3411,1
5,mongo-0,3411,1
5,mongo-0,3412,1
5,mongo-0,3413,1
5,mongo-0,3413,1
5,mongo-0,3413,1
5,mongo-0,3414,1
5,mongo-0,3414,1
5,mongo-0,3415,1
5,mongo-0,3415,1
5,mongo-0,3416,1
5,mongo-0,3416,1
5,mongo-0,3416,1
